Canal,Año,Mes,Share Niños 4-8 años,Rating en Miles Niños 4-8 años,Share Amas de casa 18+,Rating en Miles Amas de casa 18+,Share Personas 4+,Rating en Miles Personas 4+,Fecha
Cartoon Network,2018,3,7.079032258064516,592.57,0.7435483870967742,320.9,2.240322580645161,2496.79,2018-03-01
Cartoon Network,2018,4,7.168333333333334,538.55,0.7653333333333333,330.04,2.183,2337.05,2018-04-01
Cartoon Network,2018,5,6.102258064516129,534.05,0.7335483870967742,323.43,2.0416129032258064,2272.62,2018-05-01
Cartoon Network,2018,6,5.165333333333334,437.19,0.8093333333333333,362.77,1.8596666666666666,2132.91,2018-06-01
Cartoon Network,2018,7,6.054516129032258,455.26,0.6154838709677419,267.39,1.689032258064516,1861.45,2018-07-01
Cartoon Network,2018,8,5.669354838709677,434.75,0.6412903225806451,275.81,1.6925806451612904,1786.29,2018-08-01
Cartoon Network,2018,9,5.891666666666667,413.64,0.5893333333333334,244.57,1.7076666666666667,1763.33,2018-09-01
Cartoon Network,2018,10,6.446129032258064,472.62,0.8509677419354839,358.05,1.9125806451612903,1992.1,2018-10-01
Cartoon Network,2018,11,7.11,562.73,1.2443333333333333,487.45,2.33,2329.36,2018-11-01
Cartoon Network,2018,12,8.313870967741936,614.59,0.8993548387096774,309.65,2.2112903225806453,1953.92,2018-12-01
Cartoon Network,2019,1,5.612903225806452,415.64,0.8361290322580646,349.62,2.0900000000000003,2190.17,2019-01-01
Cartoon Network,2019,2,6.749285714285714,413.36,0.6128571428571429,245.1,1.6692857142857143,1619.82,2019-02-01
Cartoon Network,2019,3,7.756774193548387,501.01,0.8348387096774194,366.65999999999997,1.8893548387096775,2028.3899999999999,2019-03-01
Cartoon Network,2019,4,6.6626666666666665,417.21,0.6526666666666667,273.56,1.5656666666666665,1618.1,2019-04-01
Cartoon Network,2019,5,7.288064516129032,474.31,0.6532258064516129,281.4,1.7103225806451614,1820.34,2019-05-01
Cartoon Network,2019,6,6.941,483.44,0.865,355.4,1.8166666666666667,1937.02,2019-06-01
Cartoon Network,2019,7,7.080645161290323,477.29,0.8383870967741935,360.06,1.91,2045.03,2019-07-01
Cartoon Network,2019,8,7.631612903225807,503.79,0.6896774193548387,283.86,1.7648387096774194,1820.85,2019-08-01
Cartoon Network,2019,9,6.568,415.7,0.8683333333333334,341.21,1.736,1701.75,2019-09-01
Cartoon Network,2019,10,5.216774193548387,332.85,0.5716129032258064,233.52,1.3212903225806452,1326.02,2019-10-01
Cartoon Network,2019,11,5.292666666666666,364.95,0.6026666666666667,242.83,1.3773333333333333,1365.25,2019-11-01
Cartoon Network,2019,12,5.022258064516129,332.16,0.6612903225806451,236.5,1.5361290322580645,1415.26,2019-12-01
Comedy Central,2018,1,0.10129032258064516,9.26,0.16096774193548388,70.37,0.32838709677419353,373.87,2018-01-01
Comedy Central,2018,2,0.1960714285714286,14.47,0.15107142857142858,60.27,0.2842857142857143,283.81,2018-02-01
Comedy Central,2018,3,0.06096774193548388,5.16,0.1264516129032258,55.47,0.207741935483871,233.09,2018-03-01
Comedy Central,2018,4,0.095,6.75,0.14466666666666667,62.45,0.16466666666666668,176.42,2018-04-01
Comedy Central,2018,5,0.14225806451612905,11.84,0.12903225806451613,55.88,0.16129032258064516,178.03,2018-05-01
Comedy Central,2018,6,0.263,22.15,0.11800000000000001,51.56,0.19166666666666668,220.52,2018-06-01
Comedy Central,2018,7,0.10419354838709677,7.87,0.12967741935483873,56.15,0.21516129032258063,236.96,2018-07-01
Comedy Central,2018,8,0.04451612903225806,3.6599999999999997,0.15483870967741936,66.61,0.19129032258064516,202.14000000000001,2018-08-01
Comedy Central,2018,9,0.038,2.67,0.065,26.53,0.11366666666666667,117.67,2018-09-01
Comedy Central,2018,10,0.07774193548387097,5.76,0.12096774193548387,50.230000000000004,0.1538709677419355,159.82,2018-10-01
Comedy Central,2018,11,0.05433333333333333,4.45,0.12066666666666667,48.21,0.14166666666666666,142.74,2018-11-01
Comedy Central,2018,12,0.1964516129032258,14.84,0.10193548387096775,35.19,0.16741935483870968,148.47,2018-12-01
